Case ID,Type,Latitude,Longitude,Municipality,Stage Status,Task Order Date,Subcontractor NTP
PR-R3-13085,Reconstruction,18.46265,-66.74788,Arecibo,04 - Construction - Started,2025-03-21,2025-11-10
PR-R3-15549,Reconstruction,18.46797,-66.75306,Arecibo,11 - Structure Inspection,2025-04-04,2025-11-06
PR-R3-18300,Relocation,18.41408,-66.76631,Arecibo,03 - Design & Permitting,2025-03-28,
PR-R3-20326 (BR),Reconstruction,18.48478,-66.64658,Arecibo,03 - Design & Permitting,2025-05-21,
PR-SFM-02512,Reconstruction,18.46847,-66.75617,Arecibo,03 - Design & Permitting,2025-04-14,
PR-SFM-02842,Reconstruction,18.45875,-66.73754,Arecibo,07 - Foundation Inspection,2025-04-04,2025-11-03
PR-SFM-02910,Reconstruction,18.45147,-66.63736,Arecibo,03 - Design & Permitting,2025-04-11,
PR-SFM-02913,Reconstruction,18.43081,-66.61221,Arecibo,11 - Structure Inspection,2025-03-12,2025-10-20
PR-SFM-02916,Reconstruction,18.44363,-66.65529,Arecibo,08 - Walls Inspection (1st Level),2025-03-03,2025-09-12
PR-SFM-02923,Reconstruction,18.44319,-66.66677,Arecibo,04 - Construction - Started,2025-05-22,2025-12-12
PR-SFM-02927,Reconstruction,18.48456,-66.64734,Arecibo,03 - Design & Permitting,2025-03-12,
PR-SFM-02930,Reconstruction,18.44353,-66.63826,Arecibo,11 - Structure Inspection,2025-05-16,2025-11-06
PR-SFM-02942,Reconstruction,18.48428,-66.67687,Arecibo,03 - Design & Permitting,2025-03-12,
PR-SFM-02952,Reconstruction,18.44096,-66.65219,Arecibo,03 - Design & Permitting,2025-05-21,
PR-SFM-02953,Reconstruction,18.48825,-66.63818,Arecibo,04 - Construction - Started,2025-03-19,2025-12-23
PR-SFM-02962,Reconstruction,18.42564,-66.76378,Arecibo,07 - Foundation Inspection,2025-07-03,2025-11-10
PR-SFM-02980,Reconstruction,18.42977,-66.68573,Arecibo,03 - Design & Permitting,2025-03-19,
PR-SFM-02993,Reconstruction,18.42461,-66.6845,Arecibo,08 - Walls Inspection (1st Level),2025-05-07,2025-11-10
PR-SFM-02999,Reconstruction,18.42475,-66.6722,Arecibo,04 - Construction - Started,2025-04-11,
PR-SFM-03001,Reconstruction,18.43002,-66.68325,Arecibo,11 - Structure Inspection,2025-03-14,2025-10-28
PR-SFM-03017,Reconstruction,18.46016,-66.75448,Arecibo,08 - Walls Inspection (1st Level),2025-06-13,2025-11-20
PR-SFM-03018,Reconstruction,18.451,-66.7613,Arecibo,03 - Design & Permitting,2025-07-07,
PR-SFM-03025,Reconstruction,18.43793,-66.76117,Arecibo,04 - Construction - Started,2025-05-15,2025-11-11
PR-R3-00477,Relocation,18.19212,-66.46963,Orocovis,00 - Reassigned,2024-12-04,
PR-R3-01183,Relocation,18.21409,-66.03436,Caguas,03 - Design & Permitting,2025-10-13,
PR-R3-00347,Relocation,18.37677,-66.19875,Toa Alta,03 - Design & Permitting,2025-05-19,
PR-R3-00568,Relocation,18.40443,-66.28706,Dorado,03 - Design & Permitting,2025-05-08,
PR-R3-00948 (BR),Relocation,18.4337,-66.18021,Toa Baja,03 - Design & Permitting,2025-05-19,
PR-R3-01026 (BR),Relocation,18.27011,-66.27616,Naranjito,15 - Construction Complete,2025-05-08,2025-08-26
PR-R3-01198,Relocation,18.02837,-66.8721,Yauco,15 - Construction Complete,2025-04-28,2025-07-13
PR-R3-01809,Relocation,18.33924,-66.42969,Morovis,04 - Construction - Started,2025-04-29,
PR-R3-01897,Relocation,18.24766,-66.8529,Lares,04 - Construction - Started,2025-04-30,
PR-R3-02487 (BR),Relocation,18.25877,-66.27145,Naranjito,15 - Construction Complete,2025-06-25,2025-10-06
PR-R3-02534,Relocation,18.22409,-66.21764,Comerío,15 - Construction Complete,2025-06-04,
PR-R3-03345 (BR),Relocation,18.44321,-66.11422,Cataño,03 - Design & Permitting,2025-05-21,
PR-R3-03462,Relocation,18.4003,-66.8347,Camuy,15 - Construction Complete,2025-05-23,
PR-R3-03795,Relocation,18.26475,-66.23993,Naranjito,03 - Design & Permitting,2025-05-08,
PR-R3-04140,Relocation,18.46464,-66.77332,Hatillo,03 - Design & Permitting,2025-04-30,
PR-R3-04301,Relocation,18.15726,-67.14691,Mayagüez,03 - Design & Permitting,2025-04-30,
PR-R3-04815,Relocation,18.31646,-66.12487,Guaynabo,03 - Design & Permitting,2025-05-19,
PR-R3-04963,Relocation,18.24766,-66.8529,Lares,04 - Construction - Started,2025-04-30,
PR-R3-04986 (BR),Relocation,18.27911,-67.14624,Añasco,04 - Construction - Started,2025-04-30,
PR-R3-08733,Relocation,18.25617,-66.27528,Naranjito,03 - Design & Permitting,2025-05-08,
PR-R3-09098,Relocation,18.05522,-66.52582,Juana Díaz,03 - Design & Permitting,2025-04-30,
PR-R3-10322,Relocation,18.35679,-66.26846,Toa Alta,03 - Design & Permitting,2025-09-25,
